01:26:33 [SocketManager] Server started at port [55980]
01:26:35 [Connection] connect() failed with error: 10061
01:26:37 [Connection] connect() failed with error: 10061
01:26:49 [Connection] connect() failed with error: 10061
01:26:52 [Connection] connect() failed with error: 10061
01:26:59 [Connection] connect() failed with error: 10061
01:27:02 [Connection] connect() failed with error: 10061
01:27:12 [Connection] connect() failed with error: 10061
01:27:19 [Connection] connect() failed with error: 10061
01:27:30 [Connection] connect() failed with error: 10061
03:21:12 [Connection] Protocol header error (Header: 38)
03:35:23 [Connection] Protocol header error (Header: 38)
03:36:33 [Connection] Protocol header error (Header: 38)
03:36:33 [Connection] recv() failed with error: 10038
04:27:10 [Connection] Protocol header error (Header: 38)
04:27:10 [Connection] recv() failed with error: 10038
04:47:21 [Connection] Protocol header error (Header: 38)
04:47:21 [Connection] recv() failed with error: 10038
06:21:40 [Connection] Protocol header error (Header: 38)
07:03:52 [Connection] Protocol header error (Header: 38)
07:04:14 [Connection] connect() failed with error: 10061
07:04:24 [Connection] connect() failed with error: 10061
07:04:34 [Connection] connect() failed with error: 10061
07:04:44 [Connection] connect() failed with error: 10061
07:04:54 [Connection] connect() failed with error: 10061
07:05:04 [Connection] connect() failed with error: 10061
07:05:14 [Connection] connect() failed with error: 10061
07:05:24 [Connection] connect() failed with error: 10061
07:05:34 [Connection] connect() failed with error: 10061
07:05:44 [Connection] connect() failed with error: 10061
07:05:54 [Connection] connect() failed with error: 10061
07:06:04 [Connection] connect() failed with error: 10061
07:06:14 [Connection] connect() failed with error: 10061
07:06:24 [Connection] connect() failed with error: 10061
07:06:34 [Connection] connect() failed with error: 10061
07:06:44 [Connection] connect() failed with error: 10061
07:06:54 [Connection] connect() failed with error: 10061
07:07:04 [Connection] connect() failed with error: 10061
07:07:15 [Connection] connect() failed with error: 10061
07:07:24 [Connection] connect() failed with error: 10061
07:07:34 [Connection] connect() failed with error: 10061
07:07:44 [Connection] connect() failed with error: 10061
07:07:54 [Connection] connect() failed with error: 10061
07:08:04 [Connection] connect() failed with error: 10061
07:08:14 [Connection] connect() failed with error: 10061
07:08:25 [Connection] connect() failed with error: 10061
07:08:34 [Connection] connect() failed with error: 10061
07:08:44 [Connection] connect() failed with error: 10061
07:08:55 [Connection] connect() failed with error: 10061
07:09:05 [Connection] connect() failed with error: 10061
07:09:14 [Connection] connect() failed with error: 10061
07:09:24 [Connection] connect() failed with error: 10061
07:09:34 [Connection] connect() failed with error: 10061
07:09:45 [Connection] connect() failed with error: 10061
07:09:54 [Connection] connect() failed with error: 10061
07:10:04 [Connection] connect() failed with error: 10061
07:10:14 [Connection] connect() failed with error: 10061
07:10:25 [Connection] connect() failed with error: 10061
07:10:34 [Connection] connect() failed with error: 10061
07:10:44 [Connection] connect() failed with error: 10061
07:10:54 [Connection] connect() failed with error: 10061
07:11:05 [Connection] connect() failed with error: 10061
07:11:14 [Connection] connect() failed with error: 10061
07:11:25 [Connection] connect() failed with error: 10061
07:11:34 [Connection] connect() failed with error: 10061
07:11:45 [Connection] connect() failed with error: 10061
07:11:55 [Connection] connect() failed with error: 10061
07:12:05 [Connection] connect() failed with error: 10061
07:12:15 [Connection] connect() failed with error: 10061
07:12:25 [Connection] connect() failed with error: 10061
07:12:35 [Connection] connect() failed with error: 10061
07:12:45 [Connection] connect() failed with error: 10061
07:12:54 [Connection] connect() failed with error: 10061
07:13:05 [Connection] connect() failed with error: 10061
07:13:14 [Connection] connect() failed with error: 10061
07:13:25 [Connection] connect() failed with error: 10061
07:13:34 [Connection] connect() failed with error: 10061
07:13:45 [Connection] connect() failed with error: 10061
07:13:55 [Connection] connect() failed with error: 10061
