00:14:15 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
00:55:34 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
01:39:43 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
01:40:55 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
02:15:07 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
02:18:34 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
02:29:36 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
02:31:18 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
02:31:40 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
06:24:45 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
06:44:10 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
06:47:32 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
06:51:14 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
06:55:23 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
06:56:24 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
06:57:17 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
06:57:43 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
06:58:38 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
06:59:11 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
07:20:21 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
08:33:47 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
16:44:52 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
18:19:45 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
