07:49:47 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
07:52:43 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
07:53:55 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
07:55:30 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
08:16:25 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
08:29:45 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
08:32:23 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
09:00:48 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
09:02:37 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
09:55:32 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
