16:54:32 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
16:55:05 [AccountInfo] Account disconnected (Account: 2222, IpAddress: 117.3.214.49, GameServerCode: 20)
16:56:16 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
16:57:59 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
16:58:49 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
17:00:16 [AccountInfo] Account connected (Account: 2222, IpAddress: 117.3.214.49, GameServerCode: 20)
17:00:27 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
17:01:20 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
17:02:59 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
17:03:53 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
17:04:28 [AccountInfo] Account disconnected (Account: 2222, IpAddress: 117.3.214.49, GameServerCode: 20)
17:05:24 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
17:05:36 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
17:06:43 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
17:09:31 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
17:11:49 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
17:12:22 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
17:17:46 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
17:28:32 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
17:48:06 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
17:49:15 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
17:53:50 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
17:56:46 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
20:34:27 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
20:35:12 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
20:36:43 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
20:37:25 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
20:39:00 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
20:39:44 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
20:41:20 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
20:44:32 [AccountInfo] Account disconnected by proc (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
20:47:36 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
21:00:48 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
21:02:17 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
21:05:43 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
21:07:12 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
21:09:26 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
21:10:56 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
21:11:59 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
21:13:30 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
21:16:55 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
21:18:42 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
21:19:50 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
21:21:25 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
21:22:49 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
