00:48:30 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
01:07:44 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
04:33:19 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
04:34:39 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
04:36:24 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
04:37:44 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
04:39:24 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
04:40:52 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
04:42:21 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
04:43:41 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
04:45:14 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
04:48:10 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
04:49:39 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
04:51:03 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
04:52:44 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
04:53:15 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
06:54:58 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
06:59:25 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
07:00:56 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
07:01:12 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
07:07:24 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
07:09:26 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
10:09:17 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
10:30:10 [AccountInfo] Account disconnected by proc (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
10:31:36 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
10:32:56 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
10:34:28 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
10:35:40 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
10:37:22 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
10:39:57 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
11:03:23 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
11:05:34 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.214.49, GameServerCode: 20)
