04:30:51 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:33:10 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:34:18 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:35:24 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:36:44 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:39:09 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:40:24 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:41:57 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:43:08 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:46:17 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:47:25 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:50:36 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:52:04 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:53:48 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:55:06 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:56:45 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:58:04 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:59:50 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:01:04 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:04:22 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:05:44 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:07:11 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:08:25 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:10:05 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:11:25 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:12:58 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:14:24 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:16:02 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:17:25 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:20:47 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:22:05 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:23:49 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:25:05 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:28:51 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:30:03 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:33:47 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:34:58 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:38:01 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:39:12 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:40:25 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:42:05 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:44:47 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:46:25 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:51:02 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:52:45 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
