07:40:59 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
07:50:09 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
08:58:44 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
09:01:41 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
09:02:58 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
09:04:28 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
09:07:22 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
09:08:27 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
09:09:31 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
09:10:06 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
09:15:41 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
09:18:45 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
09:19:35 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
10:18:27 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
11:15:41 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
11:36:41 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
11:41:23 [AccountInfo] Account connected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
11:43:39 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 192.168.1.111, GameServerCode: 20)
