04:21:07 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
04:21:28 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
04:22:51 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
04:23:11 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
04:23:58 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
04:24:29 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
04:25:14 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
04:25:39 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
04:26:37 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
04:27:02 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
04:30:00 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
04:30:19 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
04:32:06 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
04:32:27 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
05:29:45 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
05:31:01 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
05:32:32 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
05:33:36 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
05:35:56 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
05:36:58 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
05:38:36 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
05:39:29 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
05:40:36 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
05:41:44 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
05:43:01 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
05:43:58 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
05:47:21 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
05:48:33 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
05:50:03 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
05:50:59 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:29:24 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:30:26 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:31:42 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:33:00 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:34:24 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:35:24 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:36:42 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:37:33 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:39:02 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:39:56 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:41:22 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:41:23 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:42:34 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:43:39 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:45:02 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:46:10 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:47:23 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:48:35 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:49:46 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:50:52 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:52:22 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:53:37 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:55:03 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:56:19 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
06:57:33 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
07:01:29 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
07:02:43 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
07:08:11 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
07:09:22 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
07:10:46 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
07:12:02 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
07:13:26 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
07:14:42 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
07:16:06 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
07:17:22 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
07:18:09 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
07:33:34 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
07:35:02 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
07:36:28 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
07:37:47 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
07:39:06 [AccountInfo] Account connected (Account: 1111, IpAddress: 27.70.231.216, GameServerCode: 20)
