04:29:24 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:31:08 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:32:21 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:33:58 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:35:18 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:36:45 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:37:58 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:40:13 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:41:39 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:42:50 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:43:58 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:47:36 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:48:58 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:50:33 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:51:59 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:53:29 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:54:38 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:56:10 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:57:18 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
04:59:19 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:00:38 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:02:19 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:03:38 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:05:16 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:06:38 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:07:35 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:09:19 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:09:54 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:11:38 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:12:22 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:13:58 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:15:48 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:17:18 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:18:39 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:20:18 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:22:02 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:23:38 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:24:56 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:26:38 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
05:28:02 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:03:38 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:07:13 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:08:25 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:09:42 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:11:12 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:12:27 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:13:52 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:15:10 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:16:33 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:17:51 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:19:12 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:20:29 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:21:53 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:23:13 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:24:35 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:25:51 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:27:12 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:28:29 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:29:53 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:31:12 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:32:32 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:33:33 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:34:52 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:35:57 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:37:12 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:38:20 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:39:32 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:40:46 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:42:12 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:43:23 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:44:52 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:46:05 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:47:32 [AccountInfo] Account connected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
06:48:50 [AccountInfo] Account disconnected (Account: 1111, IpAddress: 117.3.219.228, GameServerCode: 20)
